c1,c2,mean_inf,mean_t
7,3,577.43,94.86425827026368
7,4,820.42,128.61994705200195
7,5,1328.0200000000011,191.59437850952145
7,6,3057.73,342.16958770751967
7,7,37972.04999999999,1315.8988818359376
7,8,153549.45999999996,919.0623846435547
7,9,236976.49,659.9543127441408
8,0,278.3599999999999,40.95902786254882
8,1,340.59,56.8041162109375
8,2,427.14,70.29304702758795
8,3,563.8700000000001,91.38060180664063
8,4,780.26,118.10837356567383
8,5,1272.94,183.51025970458986
8,6,2514.1399999999985,284.99030868530286
8,7,12162.08,777.4508892822265
8,8,112306.67,1087.3322424316411
8,9,202106.81999999995,758.2241357421875
9,0,278.3699999999997,40.64634460449215
9,1,340.75000000000017,56.363016510009764
9,2,427.63,72.89485916137696
9,3,557.88,92.67930038452147
9,4,756.54,118.65793823242187
9,5,1158.31,157.88505569458005
9,6,2001.94,233.9394644165039
9,7,5535.549999999999,441.58093338012696
9,8,66065.72,1341.6168725585944
9,9,161231.77,879.6105322265626
9,10,235609.6,665.1429840087891
10,0,278.33,39.075476837158206
10,1,341.4200000000001,55.431319122314456
10,2,427.94,72.55980712890624
10,3,550.19,89.90779922485352
10,4,741.27,109.5660774230957
10,5,1094.3700000000003,151.1477345275879
10,6,1691.75,200.47335556030274
10,7,3609.08,320.1939834594726
10,8,20510.129999999994,957.9885260009765
10,9,115268.69,1050.0194403076173
10,10,195820.92,746.2196807861328
10,11,257511.65,588.4654626464844
11,0,278.25,40.332340545654276
11,1,342.68000000000006,56.99746826171875
11,2,424.18,70.82545455932618
11,3,548.2499999999994,84.25789108276372
11,4,739.8399999999998,108.59185180664062
11,5,1029.5599999999997,138.09283264160155
11,6,1594.71,187.43170257568352
11,7,2706.7099999999987,250.11039688110355
11,8,8179.259999999998,522.8446864318852
11,9,61027.68,1271.4319482421872
11,10,148797.68000000005,881.0545153808594
11,11,218257.35,692.9501531982423
12,0,278.31000000000006,39.4962188720703
12,1,341.4099999999999,55.13607925415039
12,2,424.9799999999999,71.20036331176757
12,3,546.1899999999996,85.91973266601562
12,4,701.56,101.25001129150391
12,5,985.46,128.76498031616214
12,6,1391.68,155.1985647583008
12,7,2273.32,219.83783142089842
12,8,4738.610000000003,341.48747650146487
12,9,18847.24,766.1937220764161
12,10,97234.50000000004,1100.8950988769532
12,11,171567.26000000007,794.4249426269531
12,12,231200.72,636.2546105957028
13,0,278.54999999999995,40.07650222778319
13,1,340.7399999999998,55.719747619628905
13,2,417.45,66.8898397827148
13,3,536.4799999999999,82.00517074584961
13,4,683.64,98.88138946533203
13,5,924.85,120.28873168945313
13,6,1298.9099999999999,144.42010803222655
13,7,1935.81,190.99086669921874
13,8,3341.12,252.8630285644532
13,9,7467.03,442.3615023803711
13,10,38311.829999999994,1019.5270654296875
13,11,117530.68,983.636724243164
13,12,184596.72999999992,739.9422100830078
13,13,238112.05,606.5328308105468
14,0,278.5299999999997,40.21226364135743
14,1,340.34,53.52506134033203
14,2,419.08,65.89810760498044
14,3,532.4000000000001,79.81977645874025
14,4,688.71,93.76547119140625
14,5,899.38,111.02651779174803
14,6,1227.5899999999997,138.19878479003904
14,7,1732.06,166.72205200195313
14,8,2625.700000000001,216.99684356689454
14,9,4624.329999999999,307.04012039184573
14,10,10765.699999999997,479.89245147705077
